-1	0	1580958322	0	0	16513214504700	0	0	0	0	190,194,198	1280	720	1580958322	System.Byte[]
-1	0	1580958322	0	0	16513214504700	0	0	0	0	190,194,198	1280	720	1580958322	System.Byte[]
-1	0	1580958322	0	0	16513214504700	0	0	0	0	190,194,198	1280	720	1580958322	System.Byte[]
-1	0	1580958322	0	0	16513214504700	0	0	0	0	190,194,198	1280	720	1580958322	System.Byte[]
-1	0	1580958323	0	0	16513214504700	0	0	0	0	190,194,198	1280	720	1580958323	System.Byte[]
0	1	1580958323	1	4	16513214504700	462	354	7	36	170,129,109	1280	720	1580958323	System.Byte[]
0	0	1580958323	1	4	16513214504700	462	354	7	36	170,129,109	1280	720	1580958323	System.Byte[]
0	1	1580958323	2	4	16513214504700	469	352	7	10	170,125,104	1280	720	1580958323	System.Byte[]
0	0	1580958323	1	4	16513214504700	462	354	7	36	85,116,62	1280	720	1580958323	System.Byte[]
0	0	1580958323	2	4	16513214504700	476	346	6	20	110,77,52	1280	720	1580958323	System.Byte[]
0	0	1580958323	2	4	16513214504700	480	344	11	31	93,67,46	1280	720	1580958323	System.Byte[]
0	0	1580958323	1	4	16513214504700	462	354	7	36	91,112,62	1280	720	1580958323	System.Byte[]
0	0	1580958324	2	4	16513214504700	477	339	24	36	100,110,75	1280	720	1580958324	System.Byte[]
0	0	1580958324	1	4	16513214504700	462	354	7	36	89,115,63	1280	720	1580958324	System.Byte[]
0	1	1580958324	3	4	16513214504700	454	290	3	4	76,48,48	1280	720	1580958324	System.Byte[]
0	1	1580958324	4	4	16513214504700	455	272	6	18	79,41,43	1280	720	1580958324	System.Byte[]
0	-1	1580958324	1	4	16513214504700	462	354	7	36	90,116,62	1280	720	1580958324	System.Byte[]
0	0	1580958324	2	4	16513214504700	482	334	24	41	77,87,54	1280	720	1580958324	System.Byte[]
0	0	1580958324	4	4	16513214504700	456	270	11	18	80,41,40	1280	720	1580958324	System.Byte[]
0	0	1580958324	3	4	16513214504700	454	290	3	4	75,45,46	1280	720	1580958324	System.Byte[]
0	0	1580958324	2	4	16513214504700	486	334	21	22	91,100,56	1280	720	1580958324	System.Byte[]
0	0	1580958325	4	4	16513214504700	458	257	14	30	80,45,46	1280	720	1580958325	System.Byte[]
0	0	1580958325	3	4	16513214504700	454	290	3	4	82,52,51	1280	720	1580958325	System.Byte[]
0	1	1580958325	5	4	16513214504700	458	272	6	12	77,37,39	1280	720	1580958325	System.Byte[]
0	0	1580958325	4	4	16513214504700	459	257	16	27	82,45,44	1280	720	1580958325	System.Byte[]
0	0	1580958325	2	4	16513214504700	491	331	11	31	105,76,52	1280	720	1580958325	System.Byte[]
0	0	1580958325	5	4	16513214504700	458	272	6	12	75,33,36	1280	720	1580958325	System.Byte[]
0	0	1580958325	3	4	16513214504700	454	290	3	4	89,51,53	1280	720	1580958325	System.Byte[]
0	-1	1580958325	3	4	16513214504700	454	290	3	4	80,42,44	1280	720	1580958325	System.Byte[]
0	0	1580958325	2	4	16513214504700	501	329	11	38	89,59,44	1280	720	1580958325	System.Byte[]
0	0	1580958325	4	4	16513214504700	468	257	11	13	73,35,37	1280	720	1580958325	System.Byte[]
0	0	1580958325	5	4	16513214504700	458	272	6	12	75,33,36	1280	720	1580958325	System.Byte[]
0	1	1580958326	6	4	16513214504700	512	247	6	4	172,141,131	1280	720	1580958326	System.Byte[]
0	0	1580958326	2	4	16513214504700	501	328	14	41	108,70,60	1280	720	1580958326	System.Byte[]
0	0	1580958326	4	4	16513214504700	477	256	12	13	73,44,38	1280	720	1580958326	System.Byte[]
0	0	1580958326	5	4	16513214504700	458	272	6	12	75,38,37	1280	720	1580958326	System.Byte[]
0	0	1580958326	6	4	16513214504700	512	247	6	4	70,42,44	1280	720	1580958326	System.Byte[]
0	1	1580958326	7	4	16513214504700	514	270	17	10	54,33,33	1280	720	1580958326	System.Byte[]
0	-1	1580958326	5	4	16513214504700	458	272	6	12	70,37,37	1280	720	1580958326	System.Byte[]
0	0	1580958327	2	4	16513214504700	487	328	28	38	118,100,79	1280	720	1580958327	System.Byte[]
0	0	1580958327	7	4	16513214504700	512	272	20	20	51,30,30	1280	720	1580958327	System.Byte[]
0	0	1580958327	6	4	16513214504700	508	246	17	10	129,92,79	1280	720	1580958327	System.Byte[]
0	0	1580958327	4	4	16513214504700	486	262	6	5	75,44,50	1280	720	1580958327	System.Byte[]
0	0	1580958327	2	4	16513214504700	490	329	25	31	100,94,71	1280	720	1580958327	System.Byte[]
0	0	1580958327	6	4	16513214504700	501	249	23	10	106,69,68	1280	720	1580958327	System.Byte[]
0	0	1580958327	7	4	16513214504700	508	288	11	10	122,83,82	1280	720	1580958327	System.Byte[]
0	0	1580958327	4	4	16513214504700	486	262	6	5	43,34,45	1280	720	1580958327	System.Byte[]
0	0	1580958327	2	4	16513214504700	483	331	29	30	86,109,65	1280	720	1580958327	System.Byte[]
0	0	1580958327	6	4	16513214504700	491	249	34	15	62,37,38	1280	720	1580958327	System.Byte[]
0	0	1580958327	7	4	16513214504700	485	288	33	13	37,11,20	1280	720	1580958327	System.Byte[]
0	0	1580958327	4	4	16513214504700	486	262	6	5	32,16,29	1280	720	1580958327	System.Byte[]
0	1	1580958327	8	4	16513214504700	549	305	10	10	216,175,148	1280	720	1580958327	System.Byte[]
0	0	1580958328	2	4	16513214504700	480	331	21	45	110,96,69	1280	720	1580958328	System.Byte[]
0	0	1580958328	6	4	16513214504700	486	252	39	20	62,39,40	1280	720	1580958328	System.Byte[]
